========================================================================
NUMERIC-KEYSTREAM skip-tolerant sweep  (Campaign XVIII / numeric_skip.py)
========================================================================
Pages: [0]..[54]  (55 pages)  |  max_len=277  |  ks_len=1176
Signs: {-1,+1}  |  Atbash: {0,1}  |  Offsets: [0, 1, 2, 3, 4]
Screen: len=50 beam_w=60 thr=-6.5  |  Confirm: beam_w=200 thr=-5.5
Null-max=-6.82  |  English solve ~-4.0 to -4.35  |  Threshold=-5.5

Building keystream catalog (ks_len=1176, fib=YES) ...
  874 keystreams built in 0.3s

    #  name                             best_screen   elapsed
------------------------------------------------------------
  530  fib_17_22                             -5.829     589.7s  <== NOTABLE
  532  fib_17_24                             -5.829     592.2s  <== NOTABLE
  534  fib_17_26                             -5.866     594.8s  <== NOTABLE
  545  fib_18_8                              -5.712     605.3s  <== NOTABLE
  550  fib_18_13                             -6.154     610.1s
  552  fib_18_15                             -5.906     612.6s  <== NOTABLE
  557  fib_18_20                             -5.945     618.9s  <== NOTABLE
  569  fib_19_3                              -5.995     631.3s  <== NOTABLE
  574  fib_19_8                              -5.986     637.9s  <== NOTABLE
  579  fib_19_13                             -5.922     643.1s  <== NOTABLE
  580  fib_19_14                             -5.961     644.4s  <== NOTABLE
  588  fib_19_22                             -5.829     652.5s  <== NOTABLE
  589  fib_19_23                             -5.997     653.4s  <== NOTABLE
  592  fib_19_26                             -5.983     657.3s  <== NOTABLE
  595  fib_20_0                              -5.945     660.4s  <== NOTABLE
  600  fib_20_5                              -6.162     667.4s
  604  fib_20_9                              -5.945     672.1s  <== NOTABLE
  606  fib_20_11                             -5.985     674.0s  <== NOTABLE
  607  fib_20_12                             -5.866     675.0s  <== NOTABLE
  608  fib_20_13                             -5.934     675.7s  <== NOTABLE
  610  fib_20_15                             -5.964     678.7s  <== NOTABLE
  615  fib_20_20                             -5.945     684.7s  <== NOTABLE
  618  fib_20_23                             -5.782     688.5s  <== NOTABLE
  619  fib_20_24                             -5.924     690.3s  <== NOTABLE
  623  fib_20_28                             -5.571     695.6s  <== NOTABLE
  626  fib_21_2                              -5.986     699.4s  <== NOTABLE
